Client ID,Age,Sex,Joined Bank,Banking Contact ID,NationalityID,Occupation,AdvisorID,Last Contact,Last Meeting,Fee Structure ID,Loyalty Classification,Banking Relationship,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,Contact_to_Meeting_Days,Bank_Joined_Days,Occurrence
NZ81288,24,M,2016-01-22,BC_4,I,Safety Technician IV,IA20,2015-10-28,2015-10-04,H,Jade,Retail,75384.7686,17677.95,1,484.54400000000004,776242.9184000001,1485828.636672,603617.883648,607332.4552396801,12249.958400000001,1134475.3024000002,1,2,-24,3302,1
NZ65833,23,M,1998-08-28,BC_26,M,Software Consultant,IA9,2015-11-02,2016-01-19,H,Jade,Retail,289834.314,17398.920000000002,1,2256.8777,1270615.4307000001,641482.7895630001,229521.365073,344635.15740192,61162.3089,2000526.1045000001,1,3,78,9658,1
NZ47499,27,F,2006-10-13,BC_2,E,Help Desk Operator,IA4,2015-09-29,2015-06-06,H,Gold,Institutional,169935.22520000002,42825.9,2,4568.743799999999,1052715.843,1033401.5934119999,652674.6905759999,203054.34817920002,79071.7794,548137.5815999999,1,3,-115,6690,1
NZ72498,40,M,1989-12-14,BC_46,I,Geologist II,IA3,2015-07-13,2015-08-11,MR,Silver,Investments Only,356808.1125,5473.15,2,4205.000999999999,121195.05699999999,1048157.4937199999,1048157.4937199999,234685.01932559998,57513.651999999995,1148402.292,0,4,29,12837,1
NZ60181,46,F,2009-04-07,BC_43,I,Assistant Professor,IA12,2016-02-15,2016-05-29,MR,Platinum,Private Bank,130711.68000000001,48077.600000000006,1,3779.488,1048301.952,487782.53400000004,446644.24799999996,128351.45232,30012.136,1674412.12,0,3,104,5783,1
NZ78532,23,M,2015-10-26,BC_14,I,Help Desk Technician,IA22,2015-07-31,2016-04-14,H,Silver,Private Bank,118326.96,6028.2,2,5148.5625,601902.4950000001,1307269.4085000004,745627.7367,238310.37143100004,15615.18,1556031.06,1,2,258,3390,1
NZ95683,46,F,1999-02-18,BC_14,A,Account Coordinator,IA5,2016-01-14,2014-12-03,H,Gold,Investments Only,57336.473600000005,13929.160000000002,1,959.9016000000001,208909.6884,41200.183332,60588.50490000001,24639.325326000002,3045.7812000000004,154111.61640000003,1,1,-407,9484,1
NZ40785,78,F,1997-07-22,BC_46,E,Automation Specialist II,IA10,2016-05-21,2015-04-27,MR,Gold,Retail,65125.7984,31077.8,1,4576.5824,1140704.8016000001,156983.13113600004,53889.73158400001,46813.775523840006,51979.189600000005,1171456.6760000002,0,2,-390,10060,1
NZ13570,67,F,2011-12-24,BC_7,A,Software Test Engineer II,IA19,2015-08-22,2015-02-10,H,Silver,Private Bank,87849.47340000002,9385.35,1,78.624,803444.46,1242347.2151999997,328334.62116,279528.12341999996,27125.280000000002,464560.278,0,1,-193,4792,1
NZ53299,51,M,1992-08-07,BC_25,E,Geologist III,IA10,2015-09-19,2015-11-22,MR,Silver,Investments Only,65369.36,27364.800000000003,3,4836.8640000000005,60027.90400000001,317246.66880000004,111532.032,115869.38880000002,48043.520000000004,908583.936,2,1,64,11870,1
NZ76263,55,M,2011-07-06,BC_1,E,Administrative Officer,IA22,2016-05-15,2014-12-30,H,Jade,Commercial,74966.51250000001,16928.73,1,493.31700000000006,214327.82250000004,37979.77342500001,19335.157380000008,52204.92492600001,10539.7875,353119.93200000003,3,1,-502,4963,1
NZ56452,73,F,2002-05-31,BC_10,I,Database Administrator II,IA5,2015-10-10,2015-08-25,MR,Jade,Commercial,111449.05619999998,17480.19,2,392.5875,580468.5059999999,749007.94425,204991.6479,513425.23504799994,22904.908499999994,294397.8464999999,0,2,-46,8286,1
NZ28766,45,F,2014-12-03,BC_29,M,Staff Scientist,IA19,2015-06-12,2016-02-01,L,Silver,Investments Only,115637.18879999999,10848.6,1,5055.308999999999,815250.639,616330.9288499999,208277.34837,138738.21736319998,6336.6449999999995,972455.4629999999,3,1,234,3717,1
NZ17897,44,F,1992-09-19,BC_36,I,Programmer I,IA13,2015-09-20,2015-06-23,H,Jade,Commercial,124434.77760000003,26146.000000000004,2,5211.370400000001,984792.4968000001,802862.9692280001,263714.11398,174051.31522680004,68855.48760000001,835554.8348000002,0,2,-89,11827,1
NZ86325,36,M,1991-02-21,BC_31,A,Software Test Engineer I,IA4,2016-01-29,2015-07-03,H,Platinum,Private Bank,260795.33759999997,11584.679999999998,1,2866.3361999999997,310876.6206,116399.864217,69072.44689800001,67077.02065427999,48101.125799999994,1136169.2979,1,2,-210,12403,1
NZ74197,55,M,1993-09-24,BC_44,E,Actuary,IA16,2015-06-24,2015-02-15,MR,Silver,Retail,78892.52010000001,32369.710000000003,1,4882.1292,1510860.6396,317542.21200000006,134344.782,71284.15554,20708.5476,2283081.5748,3,2,-129,11457,1
NZ28503,61,F,2011-03-10,BC_15,A,Staff Accountant II,IA13,2015-06-24,2015-01-20,H,Silver,Retail,257120.2197,16263.990000000002,1,8614.0584,436988.4390000001,2446251.572376,1273391.229456,253337.83407071998,80698.2588,1128082.1400000001,1,3,-155,5081,1
NZ56539,56,F,1990-10-07,BC_18,A,Assistant Media Planner,IA21,2016-02-19,2015-08-04,L,Jade,Retail,145704.55380000002,3078.27,1,1895.0568000000003,384153.3696000001,55118.86598400002,25590.902064000005,64095.36701568,10492.372800000003,199617.81840000002,3,1,-199,12540,1
