Age,Sex,Occupation,Fee Structure ID,Loyalty Classification,Banking Relationship,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Contact_to_Meeting_Days,Bank_Joined_Days,Nationality
24,M,Safety Technician IV,H,Jade,Retail,75384.7686,17677.95,1,484.54400000000004,776242.9184000001,603617.883648,607332.4552396801,12249.958400000001,1134475.3024000002,1,-24,3302,Indian
23,M,Software Consultant,H,Jade,Retail,289834.314,17398.920000000002,1,2256.8777,1270615.4307000001,229521.365073,344635.15740192,61162.3089,2000526.1045000001,1,78,9658,Maori
27,F,Help Desk Operator,H,Gold,Institutional,169935.22520000002,42825.9,2,4568.743799999999,1052715.843,652674.6905759999,203054.34817920002,79071.7794,548137.5815999999,1,-115,6690,European
40,M,Geologist II,MR,Silver,Investments Only,356808.1125,5473.15,2,4205.000999999999,121195.05699999999,1048157.4937199999,234685.01932559998,57513.651999999995,1148402.292,0,29,12837,Indian
46,F,Assistant Professor,MR,Platinum,Private Bank,130711.68000000001,48077.600000000006,1,3779.488,1048301.952,446644.24799999996,128351.45232,30012.136,1674412.12,0,104,5783,Indian
23,M,Help Desk Technician,H,Silver,Private Bank,118326.96,6028.2,2,5148.5625,601902.4950000001,745627.7367,238310.37143100004,15615.18,1556031.06,1,258,3390,Indian
46,F,Account Coordinator,H,Gold,Investments Only,57336.473600000005,13929.160000000002,1,959.9016000000001,208909.6884,60588.50490000001,24639.325326000002,3045.7812000000004,154111.61640000003,1,-407,9484,Asian
78,F,Automation Specialist II,MR,Gold,Retail,65125.7984,31077.8,1,4576.5824,1140704.8016000001,53889.73158400001,46813.775523840006,51979.189600000005,1171456.6760000002,0,-390,10060,European
67,F,Software Test Engineer II,H,Silver,Private Bank,87849.47340000002,9385.35,1,78.624,803444.46,328334.62116,279528.12341999996,27125.280000000002,464560.278,0,-193,4792,Asian
51,M,Geologist III,MR,Silver,Investments Only,65369.36,27364.800000000003,3,4836.8640000000005,60027.90400000001,111532.032,115869.38880000002,48043.520000000004,908583.936,2,64,11870,European
55,M,Administrative Officer,H,Jade,Commercial,74966.51250000001,16928.73,1,493.31700000000006,214327.82250000004,19335.157380000008,52204.92492600001,10539.7875,353119.93200000003,3,-502,4963,European
73,F,Database Administrator II,MR,Jade,Commercial,111449.05619999998,17480.19,2,392.5875,580468.5059999999,204991.6479,513425.23504799994,22904.908499999994,294397.8464999999,0,-46,8286,Indian
45,F,Staff Scientist,L,Silver,Investments Only,115637.18879999999,10848.6,1,5055.308999999999,815250.639,208277.34837,138738.21736319998,6336.6449999999995,972455.4629999999,3,234,3717,Maori
44,F,Programmer I,H,Jade,Commercial,124434.77760000003,26146.000000000004,2,5211.370400000001,984792.4968000001,263714.11398,174051.31522680004,68855.48760000001,835554.8348000002,0,-89,11827,Indian
36,M,Software Test Engineer I,H,Platinum,Private Bank,260795.33759999997,11584.679999999998,1,2866.3361999999997,310876.6206,69072.44689800001,67077.02065427999,48101.125799999994,1136169.2979,1,-210,12403,Asian
55,M,Actuary,MR,Silver,Retail,78892.52010000001,32369.710000000003,1,4882.1292,1510860.6396,134344.782,71284.15554,20708.5476,2283081.5748,3,-129,11457,European
